orderID,custID,orderDate,status,totalPrice,paymentMethod
1,41,2024-03-07,Completed,133000,Dana
2,686,2024-07-02,Shipped,147000,OVO
3,526,2024-09-04,Completed,159000,OVO
4,908,2024-05-17,Completed,52000,OVO
5,782,2024-07-25,Processed,396000,OVO
6,624,2024-06-19,Shipped,53000,Gopay
7,975,2025-02-06,Shipped,78000,Cash
8,986,2024-04-05,Completed,69000,OVO
9,104,2024-08-30,Completed,66000,Gopay
10,313,2024-06-18,Shipped,111000,OVO
11,890,2024-08-02,Shipped,115000,Cash
12,347,2024-05-22,Shipped,277000,Gopay
13,786,2024-11-27,Shipped,211000,Gopay
14,410,2024-10-08,Shipped,310000,Dana
15,914,2024-12-28,Shipped,116000,Cash
16,199,2024-04-29,Processed,177000,Gopay
17,208,2024-05-22,Completed,159000,Cash
18,592,2024-06-11,Processed,208000,Gopay
19,104,2024-03-18,Completed,98000,OVO
20,774,2024-09-02,Processed,279000,Cash
21,889,2024-06-09,Shipped,100000,Dana
22,537,2024-06-14,Completed,40000,Gopay
23,884,2024-07-04,Completed,68000,Cash
24,812,2024-04-17,Processed,63000,OVO
25,899,2024-02-23,Processed,202000,Dana
26,310,2025-01-24,Processed,106000,OVO
27,99,2024-07-11,Processed,94000,Dana
28,347,2024-08-31,Completed,114000,OVO
29,5,2024-09-20,Processed,284000,Cash
30,352,2024-05-05,Completed,94000,Dana
31,514,2025-01-02,Processed,157000,Cash
32,361,2025-01-06,Shipped,201000,Cash
33,224,2024-12-04,Processed,137000,Dana
34,862,2024-07-15,Processed,21000,OVO
35,112,2024-09-15,Shipped,177000,Cash
36,525,2024-10-17,Processed,383000,Gopay
37,587,2025-01-03,Shipped,117000,OVO
38,190,2024-09-05,Completed,90000,OVO
39,350,2024-10-21,Processed,204000,Gopay
40,365,2024-06-25,Processed,123000,Cash
41,842,2024-10-07,Completed,86000,Dana
42,121,2024-03-01,Completed,77000,OVO
43,925,2024-03-25,Shipped,198000,Dana
44,311,2024-12-31,Processed,72000,Gopay
45,741,2024-11-21,Completed,153000,OVO
46,433,2024-08-06,Shipped,126000,OVO
47,472,2025-02-20,Processed,5000,Dana
48,487,2024-12-03,Processed,18000,OVO
49,908,2024-04-13,Completed,299000,OVO
50,569,2024-04-10,Completed,32000,OVO
51,372,2024-12-24,Completed,95000,Dana
52,661,2024-03-30,Shipped,271000,Gopay
53,600,2024-12-17,Completed,202000,Cash
54,447,2024-05-21,Completed,100000,Gopay
55,130,2024-06-14,Processed,77000,Cash
56,879,2024-05-08,Shipped,317000,Cash
57,403,2024-05-13,Completed,72000,OVO
58,694,2024-07-20,Shipped,97000,Dana
59,629,2024-10-03,Completed,178000,Dana
60,582,2024-07-03,Processed,329000,Gopay
61,977,2024-11-18,Processed,253000,OVO
62,411,2024-11-30,Shipped,219000,Dana
63,106,2024-08-03,Completed,86000,Cash
64,722,2024-11-09,Processed,79000,OVO
65,162,2024-09-11,Shipped,72000,Dana
66,103,2025-02-19,Shipped,119000,OVO
67,30,2024-11-13,Processed,36000,Gopay
68,803,2024-09-18,Shipped,78000,OVO
69,461,2025-02-05,Completed,72000,Dana
70,959,2024-11-25,Processed,80000,Cash
71,760,2024-11-04,Completed,84000,OVO
72,699,2025-02-17,Processed,86000,Dana
73,707,2025-02-11,Processed,88000,Dana
74,540,2024-09-20,Processed,141000,Gopay
75,930,2025-02-16,Completed,288000,OVO
76,418,2024-10-02,Shipped,359000,Gopay
77,411,2024-10-02,Shipped,329000,Cash
78,340,2024-12-15,Processed,162000,OVO
79,929,2024-07-16,Completed,281000,Dana
80,363,2025-01-28,Processed,122000,Dana
81,70,2024-07-26,Completed,180000,Cash
82,250,2025-01-22,Shipped,162000,Dana
83,50,2024-03-03,Processed,145000,OVO
84,785,2024-12-07,Shipped,144000,Dana
85,235,2025-02-19,Processed,84000,Gopay
86,558,2024-07-12,Shipped,211000,Dana
87,491,2024-03-22,Shipped,60000,Cash
88,331,2024-03-05,Shipped,138000,Dana
89,897,2024-07-05,Shipped,318000,Gopay
90,232,2024-10-20,Completed,205000,Cash
91,474,2024-09-10,Completed,148000,Gopay
92,830,2024-12-23,Processed,112000,Gopay
93,689,2025-01-24,Shipped,217000,OVO
94,799,2024-10-27,Shipped,148000,Gopay
95,750,2025-01-12,Completed,144000,Cash
96,919,2024-08-11,Shipped,140000,OVO
97,480,2024-07-23,Processed,0,OVO
98,866,2024-03-31,Processed,0,Gopay
99,360,2024-05-21,Shipped,149000,OVO
100,520,2025-02-15,Completed,211000,Dana
101,2,2024-07-21,Completed,172000,Dana
102,494,2024-06-10,Completed,135000,Dana
103,153,2024-04-19,Shipped,252000,Dana
104,423,2024-04-05,Processed,136000,Cash
105,179,2024-03-08,Completed,128000,Dana
106,470,2024-04-06,Shipped,267000,Gopay
107,733,2024-08-28,Shipped,201000,Gopay
108,848,2024-12-27,Completed,249000,OVO
109,143,2024-12-05,Shipped,40000,Gopay
110,910,2024-08-08,Processed,241000,Dana
111,534,2024-10-14,Shipped,115000,OVO
112,957,2024-08-31,Completed,54000,OVO
